categoria,tipo,valor,verbose
A,T,O,ordinal
A,T,Q,qualificativo
A,T,P,posesivo
A,D,S,superlativo
A,D,V,evaluativo
A,G,F,femenino
A,G,M,masculino
A,G,C,comun
A,N,S,singular
A,N,P,plural
A,N,N,invariable
A,PP,1,1
A,PP,2,2
A,PP,3,3
A,PN,S,singular
A,PN,P,plural
A,PN,N,invariable
C,T,C,coordinantes
C,T,S,subordinantes
D,T,A,articulo
D,T,D,demostrativo
D,T,I,indefindo
D,T,P,posesivo
D,T,T,interrogativo
D,T,E,exclamativo
D,PN,1,1
D,PN,2,2
D,PN,3,3
D,G,F,femenino
D,G,M,masculino
D,G,C,comun
D,N,S,singular
D,N,F,plural
D,N,C,comun
D,PN,S,singular
D,PN,F,plural
D,PN,C,comun
N,T,C,comun
N,T,P,propio
N,G,F,femenino
N,G,M,masculino
N,G,C,comun
N,N,S,singular
N,N,P,plural
N,N,N,invariable
N,NC,S,persona
N,NC,G,lugar
N,NC,O,organizacion
N,NC,V,otro
N,D,V,evaluativo
P,T,D,demostrativo
P,T,E,exclamativo
P,T,I,indefinido
P,T,P,personal
P,T,R,relativo
P,T,T,interrogativo
P,PN,1,1
P,PN,2,2
P,PN,3,3
P,G,F,femenino
P,G,M,masculino
P,G,C,comun
P,N,S,singular
P,N,P,plural
P,N,N,invariable
P,C,N,nominativo
P,C,A,acusativo
P,C,D,dativo
P,C,O,oblicuo
P,P,P,formal
R,T,N,negativo
R,T,G,general
S,T,P,preposicion
V,T,M,principal
V,M,A,auxiliar
V,M,S,semiauxiliar
V,M,I,indicativo
V,M,S,subjuntivo
V,M,M,imperativo
V,M,P,participio
V,M,G,gerundio
V,M,N,infinitivo
V,TN,P,presente
V,TN,I,imperfecto
V,TN,F,futuro
V,TN,S,pasado
V,TN,C,condicional
V,PN,1,1
V,PN,2,2
V,PN,3,3
V,N,S,singular
V,N,P,plural
V,G,F,femenino
V,G,M,masculino
V,G,C,comun
Z,T,D,partitivo
Z,T,M,moneda
Z,T,P,porcentage
Z,T,U,unidad
